Population number =1
Individ number; phenotype; genotype;f(x); F(x)
19; 0.726567268371582; 11100110010110101101;4.9582597676355435; 4.9582597676355435;
20; 0.7327175140380859; 11100111000000000111;4.7976502200300635; 4.7976502200300635;
21; 0.7435131072998047; 11101011010111001110;4.118772890682186; 4.118772890682186;
22; 0.7535219192504883; 11101111010101100011;3.1096909791065235; 3.1096909791065235;
23; 0.7536096572875977; 11101111010110100011;3.099594046798946; 3.099594046798946;
24; 1.0400476455688477; 100111010111110010011;4.946871998155514; 4.946871998155514;
25; 1.1963520050048828; 100111101001111110010;6.5997926129163105; 6.5997926129163105;
26; 1.2001314163208008; 100111110100001000000;6.938906912618602; 6.938906912618602;
27; 1.357574462890625; 100111110101111110010;9.627518684195257; 9.627518684195257;
28; 1.3655710220336914; 100111110101111111100;10.311269558626655; 10.311269558626655;
